ID,Count,Year,Month,Day,DateFull
709,196,2018,1,31,1/31/2018
710,220,2018,2,1,2/1/2018
711,215,2018,2,2,2/2/2018
712,58,2018,2,3,2/3/2018
713,46,2018,2,4,2/4/2018
714,200,2018,2,5,2/5/2018
715,211,2018,2,6,2/6/2018
716,243,2018,2,7,2/7/2018
717,242,2018,2,8,2/8/2018
718,221,2018,2,9,2/9/2018
719,78,2018,2,10,2/10/2018
720,71,2018,2,11,2/11/2018
721,211,2018,2,12,2/12/2018
722,207,2018,2,13,2/13/2018
723,183,2018,2,14,2/14/2018
724,205,2018,2,15,2/15/2018
725,208,2018,2,16,2/16/2018
726,43,2018,2,17,2/17/2018
727,47,2018,2,18,2/18/2018
728,173,2018,2,19,2/19/2018
729,243,2018,2,20,2/20/2018
730,186,2018,2,21,2/21/2018
731,215,2018,2,22,2/22/2018
732,222,2018,2,23,2/23/2018
733,59,2018,2,24,2/24/2018
734,48,2018,2,25,2/25/2018
735,219,2018,2,26,2/26/2018
736,201,2018,2,27,2/27/2018
737,204,2018,2,28,2/28/2018
738,246,2018,3,1,3/1/2018
739,193,2018,3,2,3/2/2018
740,69,2018,3,3,3/3/2018
741,51,2018,3,4,3/4/2018
742,185,2018,3,5,3/5/2018
743,181,2018,3,6,3/6/2018
744,176,2018,3,7,3/7/2018
745,78,2018,3,8,3/8/2018
746,193,2018,3,9,3/9/2018
747,61,2018,3,10,3/10/2018
748,42,2018,3,11,3/11/2018
749,216,2018,3,12,3/12/2018
750,252,2018,3,13,3/13/2018
751,207,2018,3,14,3/14/2018
752,226,2018,3,15,3/15/2018
753,176,2018,3,16,3/16/2018
754,59,2018,3,17,3/17/2018
755,54,2018,3,18,3/18/2018
756,177,2018,3,19,3/19/2018
757,197,2018,3,20,3/20/2018
758,220,2018,3,21,3/21/2018
759,231,2018,3,22,3/22/2018
760,231,2018,3,23,3/23/2018
761,42,2018,3,24,3/24/2018
762,57,2018,3,25,3/25/2018
763,188,2018,3,26,3/26/2018
764,182,2018,3,27,3/27/2018
765,107,2018,3,28,3/28/2018
766,221,2018,3,29,3/29/2018
767,201,2018,3,30,3/30/2018
768,35,2018,3,31,3/31/2018
769,46,2018,4,1,4/1/2018
770,191,2018,4,2,4/2/2018
771,212,2018,4,3,4/3/2018
